location_id,city,state,zipcode
L1,Anchorage,AK,99501
L10,Anchorage,AK,99518
L100,Cherokee,AL,35616
L1000,Azusa,CA,91702
L10000,Winston-Sa,NC,27101
L10001,Winston-Sa,NC,27103
L10002,Winston-Sa,NC,27104
L10003,Winston-Sa,NC,27105
L10004,Winston-Sa,NC,27106
L10005,Winston-Sa,NC,27107
L10006,Winston-Sa,NC,27127
L10007,Woodleaf,NC,27054
L10008,Yadkinvill,NC,27055
L10009,Yanceyvill,NC,27379
L1001,Bakersfiel,CA,93301
L10010,Youngsvill,NC,27596
L10011,Zebulon,NC,27597
L10012,Zionville,NC,28698
L10013,Zirconia,NC,28790
L10014,Belfield,ND,58622
L10015,Carrington,ND,58421
L10016,Center,ND,58530
L10017,Cooperstow,ND,58425
L10018,Ellendale,ND,58436
L10019,Enderlin,ND,58027
L1002,Bakersfiel,CA,93304
L10020,Fargo,ND,58102
L10021,Fargo,ND,58103
L10022,Grafton,ND,58237
L10023,Jamestown,ND,58401
L10024,Killdeer,ND,58640
L10025,Lakota,ND,58344
L10026,Lisbon,ND,58054
L10027,Minto,ND,58261
L10028,Oakes,ND,58474
L10029,Park River,ND,58270
L1003,Bakersfiel,CA,93305
L10030,Richardton,ND,58652
L10031,Washburn,ND,58577
L10032,West Fargo,ND,58078
L10033,Wilton,ND,58579
L10034,Albion,NE,68620
L10035,Alda,NE,68810
L10036,Alliance,NE,69301
L10037,Ansley,NE,68814
L10038,Arlington,NE,68002
L10039,Ashland,NE,68003
L1004,Bakersfiel,CA,93306
L10040,Auburn,NE,68305
L10041,Aurora,NE,68818
L10042,Beatrice,NE,68310
L10043,Bee,NE,68314
L10044,Bellevue,NE,68005
L10045,Bellevue,NE,68123
L10046,Bellevue,NE,68147
L10047,Bennington,NE,68007
L10048,Blair,NE,68008
L10049,Blue Sprin,NE,68318
L1005,Bakersfiel,CA,93307
L10050,Bradshaw,NE,68319
L10051,Broadwater,NE,69125
L10052,Broken Bow,NE,68822
L10053,Burchard,NE,68323
L10054,Burwell,NE,68823
L10055,Campbell,NE,68932
L10056,Central Ci,NE,68826
L10057,Chadron,NE,69337
L10058,Clarkson,NE,68629
L10059,Columbus,NE,68601
L1006,Bakersfiel,CA,93309
L10060,Cozad,NE,69130
L10061,Crete,NE,68333
L10062,Culbertson,NE,69024
L10063,Curtis,NE,69025
L10064,David City,NE,68632
L10065,Deshler,NE,68340
L10066,Dixon,NE,68732
L10067,Doniphan,NE,68832
L10068,Douglas,NE,68344
L10069,Eagle,NE,68347
L1007,Bakersfiel,CA,93311
L10070,Elwood,NE,68937
L10071,Fairbury,NE,68352
L10072,Falls City,NE,68355
L10073,Fort Calho,NE,68023
L10074,Fremont,NE,68025
L10075,Fullerton,NE,68638
L10076,Geneva,NE,68361
L10077,Genoa,NE,68640
L10078,Gering,NE,69341
L10079,Gothenburg,NE,69138
L1008,Bakersfiel,CA,93312
L10080,Grand Isla,NE,68801
L10081,Grand Isla,NE,68803
L10082,Grant,NE,69140
L10083,Gretna,NE,68028
L10084,Guide Rock,NE,68942
L10085,Harvard,NE,68944
L10086,Hastings,NE,68901
L10087,Hebron,NE,68370
L10088,Hickman,NE,68372
L10089,Hildreth,NE,68947
L1009,Bakersfiel,CA,93313
L10090,Holdrege,NE,68949
L10091,Homer,NE,68030
L10092,Hooper,NE,68031
L10093,Howells,NE,68641
L10094,Hubbard,NE,68741
L10095,Humphrey,NE,68642
L10096,Kimball,NE,69145
L10097,La Vista,NE,68128
L10098,Lewellen,NE,69147
L10099,Lexington,NE,68850
L101,Chickasaw,AL,36611
L1010,Baldwin Pa,CA,91706
L10100,Lincoln,NE,68502
L10101,Lincoln,NE,68503
L10102,Lincoln,NE,68504
L10103,Lincoln,NE,68505
L10104,Lincoln,NE,68506
L10105,Lincoln,NE,68507
L10106,Lincoln,NE,68508
L10107,Lincoln,NE,68510
L10108,Lincoln,NE,68512
L10109,Lincoln,NE,68516
L1011,Banning,CA,92220
L10110,Lincoln,NE,68521
L10111,Lincoln,NE,68522
L10112,Lincoln,NE,68524
L10113,Lincoln,NE,68526
L10114,Lincoln,NE,68528
L10115,Loomis,NE,68958
L10116,McCook,NE,69001
L10117,McCool Jun,NE,68401
L10118,Milford,NE,68405
L10119,Mitchell,NE,69357
L1012,Barstow,CA,92311
L10120,Naponee,NE,68960
L10121,Nebraska C,NE,68410
L10122,North Bend,NE,68649
L10123,North Plat,NE,69101
L10124,Odell,NE,68415
L10125,Omaha,NE,68022
L10126,Omaha,NE,68046
