Date,DowChemical,Dupont,S&P500
31/12/2010,-0.003,0.002,0
30/12/2010,0.001,0.005,-0.002
29/12/2010,0,0.012,0.001
28/12/2010,0.001,0.009,0.001
27/12/2010,-0.002,0.002,0.001
23/12/2010,0.001,-0.008,-0.002
22/12/2010,0.008,0,0.003
21/12/2010,0.007,0.028,0.006
20/12/2010,-0.003,0.012,0.003
17/12/2010,-0.012,-0.043,0.001
16/12/2010,0.015,0.005,0.006
15/12/2010,-0.006,-0.029,-0.005
14/12/2010,-0.001,-0.024,0.001
13/12/2010,0,-0.004,0
10/12/2010,0.004,0.007,0.006
9/12/2010,0.012,-0.004,0.004
8/12/2010,-0.006,-0.03,0.004
7/12/2010,0.007,-0.008,0.001
6/12/2010,0.005,-0.007,-0.001
3/12/2010,0.004,0.007,0.003
2/12/2010,0.025,0.001,0.013
1/12/2010,0.039,0.012,0.021
30/11/2010,-0.003,0.004,-0.006
29/11/2010,0,0.012,-0.001
26/11/2010,-0.012,-0.009,-0.007
24/11/2010,0.027,0.009,0.015
23/11/2010,-0.022,-0.018,-0.014
22/11/2010,-0.007,-0.003,-0.002
19/11/2010,0.011,0.011,0.003
18/11/2010,0.026,-0.003,0.015
17/11/2010,0,0.008,0
16/11/2010,-0.019,-0.022,-0.016
15/11/2010,-0.004,-0.012,-0.001
12/11/2010,-0.016,-0.008,-0.012
11/11/2010,0.004,0.004,-0.004
10/11/2010,-0.004,0.003,0.004
9/11/2010,-0.017,-0.05,-0.008
8/11/2010,-0.005,-0.018,-0.002
5/11/2010,-0.008,0.018,0.004
4/11/2010,0.038,-0.054,0.019
3/11/2010,0.005,0,0.004
2/11/2010,0.016,0.024,0.008
1/11/2010,0.002,-0.002,0.001
29/10/2010,-0.001,0.008,0
28/10/2010,-0.011,-0.011,0.001
27/10/2010,-0.009,0.01,-0.003
26/10/2010,-0.002,0.022,0
25/10/2010,0.044,-0.001,0.002
22/10/2010,-0.011,0.012,0.002
21/10/2010,0.011,0.007,0.002
20/10/2010,0.029,0.018,0.01
19/10/2010,-0.017,-0.027,-0.016
18/10/2010,0.014,0.02,0.007
15/10/2010,0.004,-0.003,0.002
14/10/2010,-0.017,-0.041,-0.004
13/10/2010,0,-0.002,0.007
12/10/2010,-0.001,0.02,0.004
11/10/2010,-0.006,-0.029,0
8/10/2010,0.03,-0.012,0.006
7/10/2010,0.007,0.027,-0.002
6/10/2010,0.017,-0.054,-0.001
5/10/2010,0.036,0.029,0.021
4/10/2010,-0.015,0.013,-0.008
1/10/2010,0.015,-0.006,0.004
30/9/2010,0.003,-0.002,-0.003
29/9/2010,-0.017,-0.002,-0.003
28/9/2010,0.003,0.014,0.005
27/9/2010,-0.005,0.002,-0.006
24/9/2010,0.04,0.004,0.021
23/9/2010,-0.014,-0.021,-0.008
22/9/2010,0.004,-0.028,-0.005
21/9/2010,0.003,-0.029,-0.003
20/9/2010,0.017,0.029,0.015
